radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
	5970	|	-0.866	|	-0.5	|	0.577
	5985	|	-0.707	|	-0.707	|	1.0
	6000	|	-0.5	|	-0.866	|	1.732
	6015	|	-0.259	|	-0.966	|	3.731
	6030	|	0.0	|	-1.0	|	 UN 
	6045	|	0.259	|	-0.966	|	-3.733
	6060	|	0.5	|	-0.866	|	-1.732
	6075	|	0.707	|	-0.707	|	-1.0
	6090	|	0.866	|	-0.5	|	-0.577
	6105	|	0.966	|	-0.259	|	-0.268
	6120	|	1.0	|	0.0	|	0.0
	6135	|	0.966	|	0.259	|	0.268
	6150	|	0.866	|	0.5	|	0.577
	6165	|	0.707	|	0.707	|	1.0
	6180	|	0.5	|	0.866	|	1.732
	6195	|	0.259	|	0.966	|	3.731
	6210	|	0.0	|	1.0	|	 UN 
	6225	|	-0.259	|	0.966	|	-3.733
	6240	|	-0.5	|	0.866	|	-1.732
	6255	|	-0.707	|	0.707	|	-1.0
	6270	|	-0.866	|	0.5	|	-0.577
	6285	|	-0.966	|	0.259	|	-0.268
	6300	|	-1.0	|	0.0	|	0.0
	6315	|	-0.966	|	-0.259	|	0.268
	6330	|	-0.866	|	-0.5	|	0.577
	6345	|	-0.707	|	-0.707	|	1.0
	6360	|	-0.5	|	-0.866	|	1.732
	6375	|	-0.259	|	-0.966	|	3.731
	6390	|	0.0	|	-1.0	|	 UN 
	6405	|	0.259	|	-0.966	|	-3.733
	6420	|	0.5	|	-0.866	|	-1.732
	6435	|	0.707	|	-0.707	|	-1.0
	6450	|	0.866	|	-0.5	|	-0.577
	6465	|	0.966	|	-0.259	|	-0.268
	6480	|	1.0	|	0.0	|	0.0
	6495	|	0.966	|	0.259	|	0.268
	6510	|	0.866	|	0.5	|	0.577
	6525	|	0.707	|	0.707	|	1.0
	6540	|	0.5	|	0.866	|	1.732
	6555	|	0.259	|	0.966	|	3.731
	6570	|	0.0	|	1.0	|	 UN 
	6585	|	-0.259	|	0.966	|	-3.734
	6600	|	-0.5	|	0.866	|	-1.732
	6615	|	-0.707	|	0.707	|	-1.0
	6630	|	-0.866	|	0.5	|	-0.577
	6645	|	-0.966	|	0.259	|	-0.268
	6660	|	-1.0	|	0.0	|	0.0
	6675	|	-0.966	|	-0.259	|	0.268
	6690	|	-0.866	|	-0.5	|	0.577
	6705	|	-0.707	|	-0.707	|	1.0
	6720	|	-0.5	|	-0.866	|	1.732
	6735	|	-0.259	|	-0.966	|	3.731
	6750	|	0.0	|	-1.0	|	 UN 
	6765	|	0.259	|	-0.966	|	-3.734
	6780	|	0.5	|	-0.866	|	-1.732
	6795	|	0.707	|	-0.707	|	-1.0
	6810	|	0.866	|	-0.5	|	-0.577
	6825	|	0.966	|	-0.259	|	-0.268
	6840	|	1.0	|	0.0	|	0.0
	6855	|	0.966	|	0.259	|	0.268
	6870	|	0.866	|	0.5	|	0.577
	6885	|	0.707	|	0.707	|	1.0
	6900	|	0.5	|	0.866	|	1.732
	6915	|	0.259	|	0.966	|	3.731
	6930	|	0.0	|	1.0	|	 UN 
	6945	|	-0.259	|	0.966	|	-3.734
	6960	|	-0.5	|	0.866	|	-1.732
	6975	|	-0.707	|	0.707	|	-1.0
	6990	|	-0.866	|	0.5	|	-0.577
	7005	|	-0.966	|	0.259	|	-0.268
	7020	|	-1.0	|	0.0	|	0.0
	7035	|	-0.966	|	-0.259	|	0.268
	7050	|	-0.866	|	-0.5	|	0.577
	7065	|	-0.707	|	-0.707	|	1.0
	7080	|	-0.5	|	-0.866	|	1.732
	7095	|	-0.259	|	-0.966	|	3.73
	7110	|	0.0	|	-1.0	|	 UN 
	7125	|	0.259	|	-0.966	|	-3.734
	7140	|	0.5	|	-0.866	|	-1.732
	7155	|	0.707	|	-0.707	|	-1.0
	7170	|	0.866	|	-0.5	|	-0.577
	7185	|	0.966	|	-0.259	|	-0.268
	7200	|	1.0	|	0.0	|	0.0
	7215	|	0.966	|	0.259	|	0.268
	7230	|	0.866	|	0.5	|	0.577
	7245	|	0.707	|	0.707	|	1.0
	7260	|	0.5	|	0.866	|	1.732
	7275	|	0.259	|	0.966	|	3.73
	7290	|	0.0	|	1.0	|	 UN 
	7305	|	-0.259	|	0.966	|	-3.734
	7320	|	-0.5	|	0.866	|	-1.732
	7335	|	-0.707	|	0.707	|	-1.0
	7350	|	-0.866	|	0.5	|	-0.577
	7365	|	-0.966	|	0.259	|	-0.268
	7380	|	-1.0	|	0.0	|	0.0
	7395	|	-0.966	|	-0.259	|	0.268
	7410	|	-0.866	|	-0.5	|	0.577
	7425	|	-0.707	|	-0.707	|	1.0
	7440	|	-0.5	|	-0.866	|	1.732
	7455	|	-0.259	|	-0.966	|	3.73
	7470	|	0.0	|	-1.0	|	 UN 
	7485	|	0.259	|	-0.966	|	-3.734
	7500	|	0.5	|	-0.866	|	-1.732
	7515	|	0.707	|	-0.707	|	-1.0
	7530	|	0.866	|	-0.5	|	-0.577
	7545	|	0.966	|	-0.259	|	-0.268
	7560	|	1.0	|	0.0	|	0.0
	7575	|	0.966	|	0.259	|	0.268
	7590	|	0.866	|	0.5	|	0.577
	7605	|	0.707	|	0.707	|	1.0
	7620	|	0.5	|	0.866	|	1.732
	7635	|	0.259	|	0.966	|	3.73
	7650	|	0.0	|	1.0	|	 UN 
	7665	|	-0.259	|	0.966	|	-3.734
	7680	|	-0.5	|	0.866	|	-1.733
	7695	|	-0.707	|	0.707	|	-1.0
	7710	|	-0.866	|	0.5	|	-0.578
	7725	|	-0.966	|	0.259	|	-0.268
	7740	|	-1.0	|	0.0	|	0.0
	7755	|	-0.966	|	-0.259	|	0.268
	7770	|	-0.866	|	-0.5	|	0.577
	7785	|	-0.707	|	-0.707	|	1.0
	7800	|	-0.5	|	-0.866	|	1.732
	7815	|	-0.259	|	-0.966	|	3.73
	7830	|	0.0	|	-1.0	|	 UN 
	7845	|	0.259	|	-0.966	|	-3.734
	7860	|	0.5	|	-0.866	|	-1.733
	7875	|	0.707	|	-0.707	|	-1.0
	7890	|	0.866	|	-0.5	|	-0.578
	7905	|	0.966	|	-0.259	|	-0.268
	7920	|	1.0	|	0.0	|	0.0
	7935	|	0.966	|	0.259	|	0.268
	7950	|	0.866	|	0.5	|	0.577
	7965	|	0.707	|	0.707	|	1.0
	7980	|	0.5	|	0.866	|	1.732
	7995	|	0.259	|	0.966	|	3.73
	8010	|	0.0	|	1.0	|	 UN 
	8025	|	-0.259	|	0.966	|	-3.734
	8040	|	-0.5	|	0.866	|	-1.733
	8055	|	-0.707	|	0.707	|	-1.0
	8070	|	-0.866	|	0.5	|	-0.578
	8085	|	-0.966	|	0.259	|	-0.268
	8100	|	-1.0	|	0.0	|	0.0
	8115	|	-0.966	|	-0.259	|	0.268
	8130	|	-0.866	|	-0.5	|	0.577
	8145	|	-0.707	|	-0.707	|	1.0
	8160	|	-0.5	|	-0.866	|	1.732
	8175	|	-0.259	|	-0.966	|	3.73
	8190	|	0.0	|	-1.0	|	 UN 
	8205	|	0.259	|	-0.966	|	-3.734
	8220	|	0.5	|	-0.866	|	-1.733
	8235	|	0.707	|	-0.707	|	-1.0
	8250	|	0.866	|	-0.5	|	-0.578
	8265	|	0.966	|	-0.259	|	-0.268
	8280	|	1.0	|	0.0	|	0.0
	8295	|	0.966	|	0.259	|	0.268
	8310	|	0.866	|	0.5	|	0.577
	8325	|	0.707	|	0.707	|	1.0
	8340	|	0.5	|	0.866	|	1.732
	8355	|	0.259	|	0.966	|	3.73
	8370	|	0.0	|	1.0	|	 UN 
	8385	|	-0.259	|	0.966	|	-3.734
	8400	|	-0.5	|	0.866	|	-1.733
	8415	|	-0.707	|	0.707	|	-1.0
	8430	|	-0.866	|	0.5	|	-0.578
	8445	|	-0.966	|	0.259	|	-0.268
	8460	|	-1.0	|	0.0	|	0.0
	8475	|	-0.966	|	-0.259	|	0.268
	8490	|	-0.866	|	-0.5	|	0.577
	8505	|	-0.707	|	-0.707	|	1.0
	8520	|	-0.5	|	-0.866	|	1.732
	8535	|	-0.259	|	-0.966	|	3.73
	8550	|	0.0	|	-1.0	|	 UN 
	8565	|	0.259	|	-0.966	|	-3.734
	8580	|	0.5	|	-0.866	|	-1.733
	8595	|	0.707	|	-0.707	|	-1.0
	8610	|	0.866	|	-0.5	|	-0.578
	8625	|	0.966	|	-0.259	|	-0.268
	8640	|	1.0	|	0.0	|	0.0
	8655	|	0.966	|	0.259	|	0.268
	8670	|	0.866	|	0.5	|	0.577
	8685	|	0.707	|	0.707	|	1.0
	8700	|	0.5	|	0.866	|	1.732
	8715	|	0.259	|	0.966	|	3.73
	8730	|	0.0	|	1.0	|	 UN 
	8745	|	-0.259	|	0.966	|	-3.734
	8760	|	-0.5	|	0.866	|	-1.733
	8775	|	-0.707	|	0.707	|	-1.0
	8790	|	-0.866	|	0.5	|	-0.578
	8805	|	-0.966	|	0.259	|	-0.268
	8820	|	-1.0	|	0.0	|	0.0
	8835	|	-0.966	|	-0.259	|	0.268
	8850	|	-0.866	|	-0.5	|	0.577
	8865	|	-0.707	|	-0.707	|	1.0
	8880	|	-0.5	|	-0.866	|	1.732
	8895	|	-0.259	|	-0.966	|	3.73
	8910	|	0.0	|	-1.0	|	 UN 
	8925	|	0.259	|	-0.966	|	-3.734
