radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
	17880	|	-0.5	|	-0.866	|	1.731
	17895	|	-0.259	|	-0.966	|	3.728
	17910	|	0.0	|	-1.0	|	 UN 
	17925	|	0.259	|	-0.966	|	-3.736
	17940	|	0.5	|	-0.866	|	-1.733
	17955	|	0.707	|	-0.707	|	-1.001
	17970	|	0.866	|	-0.5	|	-0.578
	17985	|	0.966	|	-0.259	|	-0.268
	18000	|	1.0	|	0.0	|	0.0
	18015	|	0.966	|	0.259	|	0.268
	18030	|	0.866	|	0.5	|	0.577
	18045	|	0.707	|	0.707	|	0.999
	18060	|	0.5	|	0.866	|	1.731
	18075	|	0.259	|	0.966	|	3.728
	18090	|	0.0	|	1.0	|	 UN 
	18105	|	-0.259	|	0.966	|	-3.736
	18120	|	-0.5	|	0.866	|	-1.733
	18135	|	-0.707	|	0.707	|	-1.001
	18150	|	-0.866	|	0.5	|	-0.578
	18165	|	-0.966	|	0.259	|	-0.268
	18180	|	-1.0	|	0.0	|	0.0
	18195	|	-0.966	|	-0.259	|	0.268
	18210	|	-0.866	|	-0.5	|	0.577
	18225	|	-0.707	|	-0.707	|	0.999
	18240	|	-0.5	|	-0.866	|	1.731
	18255	|	-0.259	|	-0.966	|	3.728
	18270	|	0.0	|	-1.0	|	 UN 
	18285	|	0.259	|	-0.966	|	-3.736
	18300	|	0.5	|	-0.866	|	-1.733
	18315	|	0.707	|	-0.707	|	-1.001
	18330	|	0.866	|	-0.5	|	-0.578
	18345	|	0.966	|	-0.259	|	-0.268
	18360	|	1.0	|	0.0	|	0.0
	18375	|	0.966	|	0.259	|	0.268
	18390	|	0.866	|	0.5	|	0.577
	18405	|	0.707	|	0.707	|	0.999
	18420	|	0.5	|	0.866	|	1.731
	18435	|	0.259	|	0.966	|	3.728
	18450	|	0.0	|	1.0	|	 UN 
	18465	|	-0.259	|	0.966	|	-3.736
	18480	|	-0.5	|	0.866	|	-1.733
	18495	|	-0.707	|	0.707	|	-1.001
	18510	|	-0.866	|	0.5	|	-0.578
	18525	|	-0.966	|	0.259	|	-0.268
	18540	|	-1.0	|	0.0	|	0.0
	18555	|	-0.966	|	-0.259	|	0.268
	18570	|	-0.866	|	-0.5	|	0.577
	18585	|	-0.707	|	-0.707	|	0.999
	18600	|	-0.5	|	-0.866	|	1.731
	18615	|	-0.259	|	-0.966	|	3.728
	18630	|	0.0	|	-1.0	|	 UN 
	18645	|	0.259	|	-0.966	|	-3.736
	18660	|	0.5	|	-0.866	|	-1.733
	18675	|	0.707	|	-0.707	|	-1.001
	18690	|	0.866	|	-0.5	|	-0.578
	18705	|	0.966	|	-0.259	|	-0.268
	18720	|	1.0	|	0.0	|	0.0
	18735	|	0.966	|	0.259	|	0.268
	18750	|	0.866	|	0.5	|	0.577
	18765	|	0.707	|	0.707	|	0.999
	18780	|	0.5	|	0.866	|	1.731
	18795	|	0.259	|	0.966	|	3.728
	18810	|	0.0	|	1.0	|	 UN 
	18825	|	-0.259	|	0.966	|	-3.736
	18840	|	-0.5	|	0.866	|	-1.733
	18855	|	-0.707	|	0.707	|	-1.001
	18870	|	-0.866	|	0.5	|	-0.578
	18885	|	-0.966	|	0.259	|	-0.268
	18900	|	-1.0	|	0.0	|	0.0
	18915	|	-0.966	|	-0.259	|	0.268
	18930	|	-0.866	|	-0.5	|	0.577
	18945	|	-0.707	|	-0.707	|	0.999
	18960	|	-0.5	|	-0.866	|	1.731
	18975	|	-0.259	|	-0.966	|	3.728
	18990	|	0.0	|	-1.0	|	 UN 
	19005	|	0.259	|	-0.966	|	-3.736
	19020	|	0.5	|	-0.866	|	-1.733
	19035	|	0.707	|	-0.707	|	-1.001
	19050	|	0.866	|	-0.5	|	-0.578
	19065	|	0.966	|	-0.259	|	-0.268
	19080	|	1.0	|	0.0	|	0.0
	19095	|	0.966	|	0.259	|	0.268
	19110	|	0.866	|	0.5	|	0.577
	19125	|	0.707	|	0.707	|	0.999
	19140	|	0.5	|	0.866	|	1.731
	19155	|	0.259	|	0.966	|	3.728
	19170	|	0.0	|	1.0	|	 UN 
	19185	|	-0.259	|	0.966	|	-3.736
	19200	|	-0.5	|	0.866	|	-1.733
	19215	|	-0.707	|	0.707	|	-1.001
	19230	|	-0.866	|	0.5	|	-0.578
	19245	|	-0.966	|	0.259	|	-0.268
	19260	|	-1.0	|	0.0	|	0.0
	19275	|	-0.966	|	-0.259	|	0.268
	19290	|	-0.866	|	-0.5	|	0.577
	19305	|	-0.707	|	-0.707	|	0.999
	19320	|	-0.5	|	-0.866	|	1.731
	19335	|	-0.259	|	-0.966	|	3.728
	19350	|	0.0	|	-1.0	|	 UN 
	19365	|	0.259	|	-0.966	|	-3.736
	19380	|	0.5	|	-0.866	|	-1.733
	19395	|	0.707	|	-0.707	|	-1.001
	19410	|	0.866	|	-0.5	|	-0.578
	19425	|	0.966	|	-0.259	|	-0.268
	19440	|	1.0	|	0.0	|	0.0
	19455	|	0.966	|	0.259	|	0.268
	19470	|	0.866	|	0.5	|	0.577
	19485	|	0.707	|	0.707	|	0.999
	19500	|	0.5	|	0.866	|	1.731
	19515	|	0.259	|	0.966	|	3.728
	19530	|	0.0	|	1.0	|	 UN 
	19545	|	-0.259	|	0.966	|	-3.736
	19560	|	-0.5	|	0.866	|	-1.733
	19575	|	-0.707	|	0.707	|	-1.001
	19590	|	-0.866	|	0.5	|	-0.578
	19605	|	-0.966	|	0.259	|	-0.268
	19620	|	-1.0	|	0.0	|	0.0
	19635	|	-0.966	|	-0.259	|	0.268
	19650	|	-0.866	|	-0.5	|	0.577
	19665	|	-0.707	|	-0.707	|	0.999
	19680	|	-0.5	|	-0.866	|	1.731
	19695	|	-0.259	|	-0.966	|	3.728
	19710	|	0.0	|	-1.0	|	 UN 
	19725	|	0.259	|	-0.966	|	-3.736
	19740	|	0.5	|	-0.866	|	-1.733
	19755	|	0.707	|	-0.707	|	-1.001
	19770	|	0.866	|	-0.5	|	-0.578
	19785	|	0.966	|	-0.259	|	-0.268
	19800	|	1.0	|	0.0	|	0.0
	19815	|	0.966	|	0.259	|	0.268
	19830	|	0.866	|	0.5	|	0.577
	19845	|	0.707	|	0.707	|	0.999
	19860	|	0.5	|	0.866	|	1.731
	19875	|	0.259	|	0.966	|	3.728
	19890	|	0.0	|	1.0	|	 UN 
	19905	|	-0.259	|	0.966	|	-3.736
	19920	|	-0.5	|	0.866	|	-1.733
	19935	|	-0.707	|	0.707	|	-1.001
	19950	|	-0.866	|	0.5	|	-0.578
	19965	|	-0.966	|	0.259	|	-0.268
	19980	|	-1.0	|	0.0	|	0.0
	19995	|	-0.966	|	-0.259	|	0.268
	20010	|	-0.866	|	-0.5	|	0.577
	20025	|	-0.707	|	-0.707	|	0.999
	20040	|	-0.5	|	-0.866	|	1.731
	20055	|	-0.259	|	-0.966	|	3.728
	20070	|	0.0	|	-1.0	|	 UN 
	20085	|	0.259	|	-0.966	|	-3.736
	20100	|	0.5	|	-0.866	|	-1.733
	20115	|	0.707	|	-0.707	|	-1.001
	20130	|	0.866	|	-0.5	|	-0.578
	20145	|	0.966	|	-0.259	|	-0.268
	20160	|	1.0	|	0.0	|	0.0
	20175	|	0.966	|	0.259	|	0.268
	20190	|	0.866	|	0.5	|	0.577
	20205	|	0.707	|	0.707	|	0.999
	20220	|	0.5	|	0.866	|	1.731
	20235	|	0.259	|	0.966	|	3.728
	20250	|	0.0	|	1.0	|	 UN 
	20265	|	-0.259	|	0.966	|	-3.737
	20280	|	-0.5	|	0.866	|	-1.733
	20295	|	-0.707	|	0.707	|	-1.001
	20310	|	-0.866	|	0.5	|	-0.578
	20325	|	-0.966	|	0.259	|	-0.268
	20340	|	-1.0	|	0.0	|	0.0
	20355	|	-0.966	|	-0.259	|	0.268
	20370	|	-0.866	|	-0.5	|	0.577
	20385	|	-0.707	|	-0.707	|	0.999
	20400	|	-0.5	|	-0.866	|	1.731
	20415	|	-0.259	|	-0.966	|	3.728
	20430	|	0.0	|	-1.0	|	 UN 
	20445	|	0.259	|	-0.966	|	-3.737
	20460	|	0.5	|	-0.866	|	-1.733
	20475	|	0.707	|	-0.707	|	-1.001
	20490	|	0.866	|	-0.5	|	-0.578
	20505	|	0.966	|	-0.259	|	-0.268
	20520	|	1.0	|	0.0	|	0.0
	20535	|	0.966	|	0.259	|	0.268
	20550	|	0.866	|	0.5	|	0.577
	20565	|	0.707	|	0.707	|	0.999
	20580	|	0.5	|	0.866	|	1.731
	20595	|	0.259	|	0.966	|	3.728
	20610	|	0.0	|	1.0	|	 UN 
	20625	|	-0.259	|	0.966	|	-3.737
	20640	|	-0.5	|	0.866	|	-1.733
